FolderServerRelativeURL,Users,Permission
/sites/HA-Portal/Building Services Health  Social Care/Working Folder                                                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Applications/Entry Test Materials                             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Applications/Fact Sheets                                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Applications/Marketing                                        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Applications/Taster Day Materials                             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Impact/Destinations                                           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Impact/Results                                                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Impact/Student Voice                                          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Impact/Value Added & Progress                                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Quality/Academic Board Papers                                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Quality/Board Of Study                                        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Quality/Course Reviews                                        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Quality/EV Reports                                            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Quality/Position Papers                                       ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Quality/SAR & QIP                                             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/School Information/Development Plan                           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/School Information/Health & Safety                            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/School Information/Organisational Chart                       ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/School Information/Planning Calendar                          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/School Information/School Meetings                            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/School Information/Staff Induction                            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/School Information/Teaching & Learning Hour                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Assignment Briefs                          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Awarding Body Documentation                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Communication With Parents                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Curriculum Specific Resources              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Directed Learning                          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Employer Engagement                        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Enrichment                                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/IV                                         ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Learning Support                           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Sample Lesson Plans                        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Sample Marked Work                         ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Schemes Of Work                            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Student Induction                          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Art/Unit - Assessment Plans                    ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Assignment Briefs            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Awarding Body Documentation  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Communication With Parents   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Directed Learning            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Employer Engagement          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Enrichment                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/IV                           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Learning Support             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Sample Lesson Plans          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Sample Marked Work           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Schemes Of Work              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Student Induction            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/Building Services/Unit - Assessment Plans      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Assignment Briefs                     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Awarding Body Documentation           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Communication With Parents            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Curriculum Specific Resources         ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Directed Learning                     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Employer Engagement                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Enrichment                            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/IV                                    ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Learning Support                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Sample Lesson Plans                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Sample Marked Work                    ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Schemes Of Work                       ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Student Induction                     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Building Services Health  Social Care/Implementation/HSC & EY/Unit - Assessment Plans               ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Applications/Fact Sheets                    ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Applications/Entry Test Materials           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Applications/Marketing                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Applications/Taster Day Materials           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Impact/Student Voice                        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Impact/Results                              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Impact/Value Added & Progress               ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Impact/Destinations                         ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Quality/Academic Board Papers               ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Quality/Board Of Study                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Quality/SAR & QIP                           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Quality/Position Papers                     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Quality/EV Reports                          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Quality/Course Reviews                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/School Information/Health & Safety          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/School Information/Development Plan         ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/School Information/Teaching & Learning Hour ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/School Information/Organisational Chart     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/School Information/School Meetings          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/School Information/Staff Induction          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/School Information/Planning Calendar        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Working Folder                              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Assignment Briefs            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Awarding Body Documentation  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Communication With Parents   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Directed Learning            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Employer Engagement          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Enrichment                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/IV                           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Learning Support             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Sample Lesson Plans          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Sample Marked Work           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Schemes Of Work              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Student Induction            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Business Hair Beauty  Sport/Implementation/Unit - Assessment Plans      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Applications/Fact Sheets                            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Applications/Entry Test Materials                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Applications/Marketing                              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Applications/Taster Day Materials                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Impact/Student Voice                                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Impact/Results                                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Impact/Value Added & Progress                       ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Impact/Destinations                                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Quality/Academic Board Papers                       ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Quality/Board Of Study                              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Quality/SAR & QIP                                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Quality/Position Papers                             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Quality/EV Reports                                  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Quality/Course Reviews                              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/School Information/Health & Safety                  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/School Information/Development Plan                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/School Information/Teaching & Learning Hour         ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/School Information/Organisational Chart             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/School Information/School Meetings                  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/School Information/Staff Induction                  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/School Information/Planning Calendar                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Working Folder                                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Assignment Briefs            ,HCUC Security - All Staff Users,Edit
